"word";"freq"
"enforceable";1
"enrichment";1
"ensured";1
"entering";1
"enteroparasites";1
"environment";2
"equally";1
"equipment";1
"equivalent";1
"errors";1
"erysipelothrix";1
"establishing";1
"estimation";2
"eukaryotes";1
"evident";1
"evolution";1
"evolve";1
"evolved";1
"exacerbating";1
"exercise";2
"exhibited";1
"expanding";1
"expands";1
"expansive";1
"exponential";1
"expose";2
"extending";1
"extends";1
"extensively";1
"extent";2
"external";1
"extracting";1
"facilitate";1
"fail";1
"fair";1
"fashion";1
"fertilizer";1
"fewer";1
"fight";1
"finding";7
"fish";1
"fitting";1
"flies";1
"fluvial";1
"footprint";1
"formations";1
"formed";1
"formulate";1
"formulating";1
"forward";1
"free";1
"fully";1
"functionally";1
"fundamental";1
"furthers";1
"generally";1
"generation";1
"genomospecies";1
"genotypes";1
"geochemistry";1
"geographical";1
"geologic";1
"geometries";1
"geospatial";1
"glimpse";1
"glint";1
"globally";1
"governmental";1
"group";8
"growing";1
"growth";1
"habitat";1
"harmonized";1
"heavily";1
"heterogeneous";1
"heterogenous";1
"heterotrophic";1
"heterotrophy";1
"highlands";1
"highlight";5
"highlighted";1
"home";1
"homogenization";1
"hope";1
"horizontal";1
"hosts";1
"hotspot";1
"huge";1
"hydrodynamics";1
"hypolimnion";1
"hypotheses";1
"identical";1
"identifies";1
"image";6
"imager";1
"immense";1
"implementing";1
"incorporating";1
"incubation";1
"independent";1
"index";1
"indices";1
"indigenous";1
"individual";1
"industrialization";1
"industrially";1
"industry";1
"infect";1
"infections";1
"inflow";1
"influential";1
"infrared";1
"inhabited";1
"input";2
"insights";1
"installation";1
"instrument";1
"integral";1
"integrate";1
"integrators";1
"intensification";1
"interaction";4
"interface";2
"interfering";1
"interpolated";1
"interpret";1
"interpretation";1
"intervals";1
"intrusive";1
"inverse";1
"invertebrate";1
"inverted";1
"irrigation";1
"isomers";1
"issue";6
"keystone";1
"larger";1
"lastly";1
"late";1
"latent";1
"latitudinal";1
"launched";1
"lcbd";1
"lead";1
"leave";1
"led";1
"legal";1
"limits";1
"limnohabitans";1
"limnology";1
"link";1
"linked";1
"literature";1
"littoral";1
"loads";1
"localized";1
"located";1
"logistical";1
"losses";1
"lowered";1
"lulclulc";1
"macronutrients";1
"made";1
"maintaining";1
"majority";1
"make";2
"manage";1
"managerial";1
"managers";1
"managing";1
"manure";1
"mapped";1
"marine";1
"maritimes";1
"marked";1
"massive";1
"matchup";1
"material";1
"maximum";1
"mdnmodels";1
"means";1
"measure";2
"measuring";1
"mediated";1
"medicine";1
"meet";1
"met";1
"metagenomic";2
"metals";1
"methanol";1
"methodological";1
"methodologies";1
"metric";6
"microbes";1
"microbiology";1
"microeukaryotes";1
"middle";1
"million";1
"mine";1
"mis";1
"mission";4
"mitigation";1
"mixotroph";2
"mixotrophy";1
"modelling";1
"moderate";1
"modified";1
"modify";1
"modifying";1
"moira";1
"morphological";1
"morphometry";1
"mountain";1
"mounting";1
"municipal";1
"nanopelagicales";1
"naoh";1
"nation";1
"nearshore";1
"negative";1
"nematocera";1
"neural";1
"nitrogen";1
"nonetheless";1
"north";1
"northern";1
"notably";1
"noted";1
"numerically";1
"obligate";1
"observations";1
"observers";1
"obtain";1
"occur";1
"occurring";1
"offer";4
"oligotrophic";1
"ontario";1
"open";1
"operating";1
"operational";1
"operations";1
"opposed";1
"optimize";1
"optimized";1
"options";1
"ordination";1
"originating";1
"outliers";1
"outperform";1
"outweighing";1
"overlapping";1
"overuse";1
"pairs";1
"paleo";1
"paleogenomics";1
"paleohydrological";1
"paleohydrology";1
"paleoindicators";1
"parameters";1
"parasites";1
"partially";1
"partitioned";1
"partitioning";1
"partnership";1
"pave";1
"pelagibacterales";1
"perceived";1
"perform";1
"performing";1
"period";2
"persistent";1
"perspectives";1
"pharmaceuticals";1
"phosphorus";1
"phototrophic";1
"phototrophy";1
"phycocyanin";1
"phylogenetic";1
"physical";1
"physicochemical";1
"physiochemical";1
"physiographic";1
"picocyanobacteria";1
"pivotal";1
"plankton";1
"plasticity";1
"platform";2
"pointing";1
"pollutants";1
"pollution";1
"polynucleobacter";1
"pool";1
"poor";1
"poorly";1
"poses";1
"position";1
"possess";1
"practice";1
"prairie";4
"predation";1
"predators";1
"predictable";1
"predictive";1
"preimpact";1
"prepare";1
"pressure";3
"prevent";1
"previous";1
"prioritize";1
"pristine";1
"probability";1
"probed";1
"problem";2
"process";3
"processed";1
"processors";1
"produce";1
"producers";1
"producing";1
"productivity";1
"profundal";1
"promise";1
"promotes";1
"pronounced";1
"property";1
"protect";1
"protecting";1
"proximate";1
"proximity";1
"pulse";1
"qualitatively";1
"quantified";1
"quantifying";1
"quantitative";1
"quantity";1
"quebec";1
"questions";1
"radiance";1
"radiochronology";1
"radioisotopic";1
"radiometric";1
"ranging";1
"rapid";1
"reads";1
"real";1
"receiving";1
"receptors";1
"recognized";1
"recorded";1
"recovery";1
"recyclers";1
"reduce";2
"referred";1
"reflect";1
"reflected";1
"reflecting";1
"regulations";1
"reliable";1
"relied";1
"rely";1
"remained";1
"remaining";1
"removed";1
"repeatable";1
"replacement";1
"report";1
"reporting";1
"representative";1
"represented";1
"representing";1
"require";1
"requirement";1
"researcher";1
"residual";1
"resource";5
"responded";1
"resulted";1
"retrace";1
"retrieve";1
"retrieving";1
"reveal";5
"rights";1
"rigorous";1
"rise";1
"road";1
"rugged";1
"runoff";1
"salt";1
"scanning";1
"scbd";1
"scientific";1
"scientists";1
"seasonality";1
"seasons";1
"secchiand";1
"secondary";1
"sectors";1
"select";1
"selecting";1
"selection";1
"semi";1
"sensitivities";1
"sensitivity";1
"sensor";2
"sequence";2
"sequential";1
"serves";1
"sewage";1
"sfrensen";1
"shallow";1
"shape";2
"shaped";1
"shifted";1
"shoreline";1
"shown";1
"signal";2
"significance";1
"signifying";1
"similarities";1
"similarity";1
"similarly";1
"simultaneous";1
"site";6
"slope";1
"small";1
"smaller";1
"social";1
"societal";1
"society";1
"solves";1
"sought";1
"space";1
"span";1
"sparsely";1
"specifically";1
"spectroscopy";1
"spectrum";1
"stabilization";1
"standard";2
"standing";1
"statistical";1
"statistically";1
"step";1
"stimulate";1
"stocked";1
"strategies";1
"stratification";1
"stress";1
"strongest";1
"structured";1
"structuring";1
"subarctic";1
"subsequent";1
"subsequently";1
"subset";1
"substantial";1
"successful";1
"suitability";1
"suitable";1
"summer";1
"supplies";1
"supply";1
"surpassed";1
"surrounding";1
"surveying";1
"survival";1
"symbionts";1
"syntheses";1
"synthetic";1
"system";5
"taiga";1
"target";1
"tasked";1
"taxonomically";1
"technological";1
"temperate";1
"temperature";2
"ten";1
"tended";1
"terrestrial";1
"testing";1
"theoretical";1
"thousands";1
"threat";2
"tight";1
"timescales";1
"timing";1
"tolerant";1
"tools";1
"topbottom";1
"topic";3
"toxins";1
"track";1
"train";1
"trained";1
"transport";1
"true";1
"ttc";2
"tuned";1
"tweed";1
"ubiquitous";1
"ultramicroscopic";1
"ultraviolet";1
"unbiased";1
"uncertainty";1
"uncorrected";1
"underestimated";1
"underlaid";1
"underpin";1
"underscoring";1
"understood";1
"undertaking";1
"unexplored";1
"unextracted";1
"unimpacted";1
"uniqueness";1
"units";1
"universal";1
"universally";1
"unknown";1
"unprecedented";1
"unsampled";1
"updated";1
"upper";1
"upstream";1
"urbanized";1
"validating";1
"variability";1
"variable";7
"varies";1
"variety";1
"velocity";1
"verified";1
"viability";1
"vibrio";1
"vital";1
"volume";1
"ways";1
"weighted";1
"western";1
"widely";1
"wider";1
"widespread";1
"wildlife";1
"year";7
"zones";1
